States,Regions,latitude,longitude,Dates,Usage
West Bengal,ER,22.58039044,88.32994665,"21 October, 2019",113.8
West Bengal,ER,22.58039044,88.32994665,"22 October, 2019",115
West Bengal,ER,22.58039044,88.32994665,"23 October, 2019",116
West Bengal,ER,22.58039044,88.32994665,"24 October, 2019",107.4
West Bengal,ER,22.58039044,88.32994665,"25 October, 2019",164.8
West Bengal,ER,22.58039044,88.32994665,"26 October, 2019",150.5
West Bengal,ER,22.58039044,88.32994665,"27 October, 2019",152.2
West Bengal,ER,22.58039044,88.32994665,"28 October, 2019",138.2
West Bengal,ER,22.58039044,88.32994665,"29 October, 2019",157.1
West Bengal,ER,22.58039044,88.32994665,"30 October, 2019",151
West Bengal,ER,22.58039044,88.32994665,"31 October, 2019",144.9
West Bengal,ER,22.58039044,88.32994665,"01 November, 2019",130.3
West Bengal,ER,22.58039044,88.32994665,"02 November, 2019",143.3
West Bengal,ER,22.58039044,88.32994665,"03 November, 2019",151.4
West Bengal,ER,22.58039044,88.32994665,"04 November, 2019",137.6
West Bengal,ER,22.58039044,88.32994665,"05 November, 2019",127.2
West Bengal,ER,22.58039044,88.32994665,"06 November, 2019",130.9
West Bengal,ER,22.58039044,88.32994665,"08 November, 2019",125.8
West Bengal,ER,22.58039044,88.32994665,"09 November, 2019",109
West Bengal,ER,22.58039044,88.32994665,"10 November, 2019",115.2
West Bengal,ER,22.58039044,88.32994665,"11 November, 2019",115.8
West Bengal,ER,22.58039044,88.32994665,"12 November, 2019",112.3
West Bengal,ER,22.58039044,88.32994665,"13 November, 2019",117.8
West Bengal,ER,22.58039044,88.32994665,"14 November, 2019",115.7
West Bengal,ER,22.58039044,88.32994665,"15 November, 2019",106.1
West Bengal,ER,22.58039044,88.32994665,"16 November, 2019",137.9
West Bengal,ER,22.58039044,88.32994665,"17 November, 2019",148.7
West Bengal,ER,22.58039044,88.32994665,"18 November, 2019",153.4
West Bengal,ER,22.58039044,88.32994665,"19 November, 2019",156.5
West Bengal,ER,22.58039044,88.32994665,"20 November, 2019",143.7
West Bengal,ER,22.58039044,88.32994665,"21 November, 2019",142.6
West Bengal,ER,22.58039044,88.32994665,"22 November, 2019",133.5
West Bengal,ER,22.58039044,88.32994665,"23 November, 2019",118.7
West Bengal,ER,22.58039044,88.32994665,"24 November, 2019",126.9
West Bengal,ER,22.58039044,88.32994665,"25 November, 2019",128.7
West Bengal,ER,22.58039044,88.32994665,"26 November, 2019",129.3
West Bengal,ER,22.58039044,88.32994665,"27 November, 2019",130.4
West Bengal,ER,22.58039044,88.32994665,"28 November, 2019",124.7
West Bengal,ER,22.58039044,88.32994665,"29 November, 2019",114.6
West Bengal,ER,22.58039044,88.32994665,"30 November, 2019",186
West Bengal,ER,22.58039044,88.32994665,"01 December, 2019",186.4
West Bengal,ER,22.58039044,88.32994665,"02 December, 2019",184.3
West Bengal,ER,22.58039044,88.32994665,"03 December, 2019",168.4
West Bengal,ER,22.58039044,88.32994665,"04 December, 2019",190.8
West Bengal,ER,22.58039044,88.32994665,"05 December, 2019",180.4
West Bengal,ER,22.58039044,88.32994665,"06 December, 2019",177
West Bengal,ER,22.58039044,88.32994665,"08 December, 2019",131.3
West Bengal,ER,22.58039044,88.32994665,"09 December, 2019",120
West Bengal,ER,22.58039044,88.32994665,"10 December, 2019",138.7
West Bengal,ER,22.58039044,88.32994665,"11 December, 2019",140.3
West Bengal,ER,22.58039044,88.32994665,"12 December, 2019",143.5
West Bengal,ER,22.58039044,88.32994665,"13 December, 2019",145.2
West Bengal,ER,22.58039044,88.32994665,"14 December, 2019",151.7
West Bengal,ER,22.58039044,88.32994665,"15 December, 2019",119.7
West Bengal,ER,22.58039044,88.32994665,"16 December, 2019",120.9
West Bengal,ER,22.58039044,88.32994665,"17 December, 2019",123.3
West Bengal,ER,22.58039044,88.32994665,"18 December, 2019",122.5
West Bengal,ER,22.58039044,88.32994665,"19 December, 2019",121.7
West Bengal,ER,22.58039044,88.32994665,"20 December, 2019",120.6
West Bengal,ER,22.58039044,88.32994665,"21 December, 2019",115.9
West Bengal,ER,22.58039044,88.32994665,"22 December, 2019",110.4
West Bengal,ER,22.58039044,88.32994665,"23 December, 2019",114.3
West Bengal,ER,22.58039044,88.32994665,"24 December, 2019",113.5
West Bengal,ER,22.58039044,88.32994665,"25 December, 2019",114.3
West Bengal,ER,22.58039044,88.32994665,"26 December, 2019",113.2
West Bengal,ER,22.58039044,88.32994665,"27 December, 2019",112
West Bengal,ER,22.58039044,88.32994665,"28 December, 2019",108.3
West Bengal,ER,22.58039044,88.32994665,"29 December, 2019",166.9
West Bengal,ER,22.58039044,88.32994665,"30 December, 2019",173.9
West Bengal,ER,22.58039044,88.32994665,"31 December, 2019",174.3
